Name,FileSource,Secondary,Storage,Bus,VolumeGroup,DuckGroup,Duck,ReverbSend,CenterSend,VolMin,VolMax,DistMin,DistMaxDry,DistMaxWet,DryMinCurve,DryMaxCurve,WetMinCurve,WetMaxCurve,LimitCount,EntityLimitCount,LimitType,EntityLimitType,PitchMin,PitchMax,PriorityMin,PriorityMax,PriorityThresholdMin,PriorityThresholdMax,PanType,Pan,Looping,RandomizeType,Probability,StartDelay,EnvelopMin,EnvelopMax,EnvelopPercent,OcclusionLevel,IsBig,DistanceLpf,FluxType,FluxTime,Subtitle,Doppler,ContextType,ContextValue,Timescale,IsMusic,IsCinematic,FadeIn,FadeOut,Pauseable,StopOnEntDeath,StopOnPlay,DopplerScale,FutzPatch,VoiceLimit,IgnoreMaxDist,NeverPlayTwice
fly_generic_ads_lower_plr,raw\sound\fly\heavy_cloth\ads_down\wpn_generic_ads_down_00.LN65.pc.snd.wav,,loaded,bus_fx,grp_foley,snp_foley,,0,0,47,52,0,5000,5000,allon,default,allon,default,4,8,oldest,oldest,-200,200,25,35,0,1,2d,default,nonlooping,volume,1,0,0,0,0,0.25,no,yes,none,0,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
fly_generic_ads_plr,raw\sound\fly\heavy_cloth\ads\wpn_generic_ads_00.LN65.pc.snd.wav,,loaded,bus_fx,grp_foley,snp_foley,,0,0,47,52,0,5000,5000,allon,default,allon,default,1,8,oldest,oldest,-200,200,25,35,0,1,2d,default,nonlooping,volume,1,0,0,0,0,0.25,no,yes,none,0,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
fly_generic_down_npc,raw\sound\fly\heavy_cloth\wpn_away\wpn_assault_away.LN65.pc.snd.wav,,loaded,bus_fx,grp_foley,snp_foley,,30,0,75,75,75,500,500,allon,default,allon,default,4,1,priority,reject,-100,100,15,30,0.25,1,3d,default,nonlooping,volume,1,0,25,250,75,0.25,no,yes,none,0,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
fly_generic_down_plr,raw\sound\fly\heavy_cloth\wpn_away\wpn_assault_away.LN65.pc.snd.wav,,loaded,bus_fx,grp_foley,snp_foley,,73,0,66,71,0,5000,5000,allon,default,allon,default,4,1,oldest,reject,-100,100,70,70,0,1,2d,default,nonlooping,volume,1,0,0,0,0,0.25,no,yes,none,0,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
fly_generic_first_raise_npc,raw\sound\fly\heavy_cloth\long\fly_heavy_cloth_long_00.LN65.pc.snd.wav,,loaded,bus_fx,grp_foley,snp_foley,,30,0,75,75,75,500,500,allon,default,allon,default,4,8,priority,oldest,-90,90,15,30,0.25,1,3d,default,nonlooping,volume,1,0,25,250,75,0.25,no,yes,none,0,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
fly_generic_first_raise_plr,raw\sound\fly\heavy_cloth\long\fly_heavy_cloth_long_00.LN65.pc.snd.wav,wpn_med_rat_raise_plr,loaded,bus_fx,grp_foley,snp_foley,,73,0,66,71,0,5000,5000,allon,default,allon,default,4,8,oldest,oldest,-200,200,70,70,0,1,2d,default,nonlooping,volume,1,0,0,0,0,0.25,no,yes,none,0,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
fly_generic_pickup_npc,raw\sound\fly\pickups\weapon\fly_weapon_pickup_00.LN65.pc.snd.wav,,loaded,bus_fx,grp_foley,snp_foley,,30,0,75,75,75,500,500,allon,default,allon,default,2,1,priority,reject,-50,50,15,30,0.25,1,3d,default,nonlooping,volume,1,0,25,250,75,0.25,no,yes,none,0,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
fly_generic_pickup_npc,raw\sound\fly\pickups\weapon\fly_weapon_pickup_01.LN65.pc.snd.wav,,loaded,bus_fx,grp_foley,snp_foley,,30,0,75,75,75,500,500,allon,default,allon,default,2,1,priority,reject,-50,50,15,30,0.25,1,3d,default,nonlooping,volume,1,0,25,250,75,0.25,no,yes,none,0,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
fly_generic_pickup_plr,raw\sound\fly\pickups\weapon\fly_weapon_pickup_00.LN65.pc.snd.wav,,loaded,bus_fx,grp_foley,snp_foley,,73,0,66,71,0,5000,5000,allon,default,allon,default,4,8,oldest,oldest,-200,200,70,70,0,1,2d,default,nonlooping,volume,1,0,0,0,0,0.25,no,yes,none,0,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
fly_generic_pickup_plr,raw\sound\fly\pickups\weapon\fly_weapon_pickup_01.LN65.pc.snd.wav,,loaded,bus_fx,grp_foley,snp_foley,,73,0,66,71,0,5000,5000,allon,default,allon,default,4,8,oldest,oldest,-200,200,70,70,0,1,2d,default,nonlooping,volume,1,0,0,0,0,0.25,no,yes,none,0,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
